type,node,bytes,capacity,r_bw,w_bw,r_cost,w_cost,r_port,w_port,rw_port,area,latency
ddr3,22nm,2048,16384,512,512,0.00757572,0.00849597,2,2,1,0.0100269,0.111251
ddr3,22nm,4096,32768,512,512,0.0079549,0.00965314,2,2,1,0.0126533,0.123292
ddr3,22nm,32768,262144,512,512,0.0116972,0.0266358,2,2,1,0.0404973,0.227315
ddr3,22nm,131072,1048576,512,512,0.0335769,0.0441676,2,2,1,0.199414,0.43105
ddr3,22nm,262144,2097152,512,512,0.050082,0.0709671,2,2,1,0.393843,0.628215
ddr3,22nm,1048576,8388608,512,512,0.114846,0.121253,2,2,1,1.27913,1.19751
ddr3,22nm,2097152,16777216,512,512,0.179646,0.185333,2,2,1,2.52359,1.6335
ddr3,22nm,4194304,33554432,512,512,0.253573,0.261366,2,2,1,5.05584,2.14013
ddr3,22nm,8388608,67108864,512,512,0.368418,0.377004,2,2,1,9.67388,3.00424
ddr3,40nm,2048,16384,512,512,0.0213621,0.023984,2,2,1,0.0326664,0.213348
ddr3,40nm,4096,32768,512,512,0.0224576,0.0273578,2,2,1,0.0412657,0.233535
ddr3,40nm,32768,262144,512,512,0.0315414,0.0754849,2,2,1,0.13241,0.387116
ddr3,40nm,131072,1048576,512,512,0.0793263,0.148813,2,2,1,0.44075,0.69073
ddr3,40nm,262144,2097152,512,512,0.130045,0.19907,2,2,1,1.1397,0.975841
ddr3,40nm,1048576,8388608,512,512,0.307421,0.333658,2,2,1,4.77704,1.75891
ddr3,40nm,2097152,16777216,512,512,0.470695,0.503836,2,2,1,8.32542,2.4394
ddr3,40nm,4194304,33554432,512,512,0.668452,0.735363,2,2,1,16.9706,3.32538
ddr3,40nm,8388608,67108864,512,512,0.957372,1.02611,2,2,1,28.408,4.40309
ddr3,32nm,2048,16384,512,512,0.0146017,0.0163659,2,2,1,0.0210332,0.173814
ddr3,32nm,4096,32768,512,512,0.015344,0.0186332,2,2,1,0.0265499,0.18949
ddr3,32nm,32768,262144,512,512,0.0218509,0.0512224,2,2,1,0.0849093,0.32145
ddr3,32nm,131072,1048576,512,512,0.0557026,0.10109,2,2,1,0.282372,0.590073
ddr3,32nm,262144,2097152,512,512,0.091388,0.13637,2,2,1,0.730155,0.817897
ddr3,32nm,1048576,8388608,512,512,0.215889,0.230195,2,2,1,3.06026,1.49027
ddr3,32nm,2097152,16777216,512,512,0.33175,0.349655,2,2,1,5.33346,2.07161
ddr3,32nm,4194304,33554432,512,512,0.471425,0.490875,2,2,1,10.6638,2.81664
ddr3,32nm,8388608,67108864,512,512,0.671499,0.713558,2,2,1,18.3113,3.80623
ddr3,90nm,2048,16384,512,512,0.0888517,0.0999442,2,2,1,0.165749,0.557442
ddr3,90nm,4096,32768,512,512,0.0928791,0.113554,2,2,1,0.209321,0.613088
ddr3,90nm,32768,262144,512,512,0.122887,0.306997,2,2,1,0.670822,0.938975
ddr3,90nm,131072,1048576,512,512,0.295412,0.604703,2,2,1,2.23203,1.46829
ddr3,90nm,262144,2097152,512,512,0.570652,0.764042,2,2,1,3.93711,1.95313
ddr3,90nm,1048576,8388608,512,512,1.24206,1.3886,2,2,1,24.0798,3.56072
ddr3,90nm,2097152,16777216,512,512,1.78195,1.70413,2,2,1,37.7988,5.05218
ddr3,90nm,4194304,33554432,512,512,2.62937,2.52282,2,2,1,76.5374,6.56591
ddr3,90nm,8388608,67108864,512,512,3.91652,3.82256,2,2,1,151.338,8.76878
dram,22nm,16777216,134217728,64,64,0.16212,138.29,2,2,1,4.82071,3.03796
dram,22nm,33554432,268435456,64,64,0.200505,138.329,2,2,1,9.70086,3.54323
dram,22nm,134217728,1073741824,64,64,0.273929,69.3147,2,2,1,26.1854,4.74735
dram,22nm,67108864,536870912,64,64,0.239615,138.368,2,2,1,17.7748,4.07595
dram,22nm,1073741824,8589934592,64,64,0.533472,208.336,2,2,1,89.3397,7.52961
dram,40nm,16777216,134217728,64,64,0.377234,101.259,2,2,1,17.5524,4.48798
dram,40nm,33554432,268435456,64,64,0.43497,157.138,2,2,1,20.5817,4.95023
dram,40nm,134217728,1073741824,64,64,0.671762,157.375,2,2,1,76.2424,6.71547
dram,40nm,67108864,536870912,64,64,0.539663,157.243,2,2,1,41.0322,5.71889
dram,40nm,1073741824,8589934592,64,64,1.37493,493.008,2,2,1,303.08,10.8325
dram,32nm,16777216,134217728,64,64,0.282485,151.62,2,2,1,13.7436,3.86164
dram,32nm,33554432,268435456,64,64,0.326177,237.345,2,2,1,16.3873,4.29477
dram,32nm,134217728,1073741824,64,64,0.470276,118.94,2,2,1,48.4015,5.81083
dram,32nm,67108864,536870912,64,64,0.377147,118.847,2,2,1,25.2973,4.95448
dram,32nm,1073741824,8589934592,64,64,0.971016,376.407,2,2,1,192.28,9.55845
dram,90nm,16777216,134217728,64,64,1.51805,637.806,2,2,1,54.2414,9.92779
dram,90nm,33554432,268435456,64,64,1.80557,638.094,2,2,1,103.907,11.033
dram,90nm,134217728,1073741824,64,64,2.7259,1063.42,2,2,1,267.51,13.5357
dram,90nm,67108864,536870912,64,64,2.24392,1062.94,2,2,1,132.24,12.0928
dram,90nm,1073741824,8589934592,64,64,5.73553,1915.24,2,2,1,1541.56,21.2385
